6.93952,3.59408,2.32004,1.70849,1.49812,1.25417,1.08656,1.13762
7.1673,3.63632,2.42105,1.80446,1.42288,1.34743,1.10064,1.38206
7.05547,3.43634,2.36498,1.75526,1.55609,1.2905,1.15117,1.29806
7.48038,3.65365,2.23642,1.76221,1.54367,1.19746,1.05504,1.1438
6.86794,3.22337,2.44921,1.82607,1.53202,1.24554,1.149,1.18913
7.40248,3.40185,2.36636,1.8101,1.4911,1.19784,1.19884,1.17813
7.29982,3.44593,2.26681,1.92818,1.40701,1.24204,1.09725,1.4227
6.73429,3.40708,2.39143,1.84949,1.40082,1.51621,1.17926,1.42193
7.18463,3.85514,2.26787,1.75866,1.48777,1.49918,1.11921,1.32881
7.43043,3.70146,2.27844,1.73493,1.42352,1.34989,1.15925,1.27017
6.59936,3.65781,2.24803,1.7645,1.42693,1.195,1.20526,0.985438
7.2883,3.98218,2.33603,1.7232,1.47269,1.18921,1.22056,1.13698
7.31223,3.80973,2.28102,1.8641,1.41034,1.28606,1.26315,1.1655
7.17215,3.56223,2.39866,1.84009,1.42588,1.25005,1.06956,1.00606
6.38145,3.4633,2.22526,1.77089,1.49197,1.24538,1.04121,1.05844
7.12457,3.63165,2.3692,1.73833,1.4449,1.23885,1.13912,1.1446
6.9746,3.43243,2.41083,1.74705,1.39607,1.28469,1.21289,1.1584
7.3856,3.84725,2.46317,1.76235,1.46034,1.35912,1.15811,1.50797
7.37718,3.8751,2.26423,1.88544,1.43288,1.34048,1.1849,1.12134
7.15716,3.50519,2.57334,1.82037,1.43262,1.25062,1.07331,0.9732
6.82938,3.79664,2.17328,1.96201,1.40145,1.19848,1.17991,1.21224
7.04702,4.0264,2.61752,2.03882,1.46012,1.25908,1.16584,1.41304
7.12482,3.31887,2.35279,1.77289,1.41518,1.24706,1.0718,1.29195
7.69598,3.75581,2.61698,1.77689,1.48882,1.3146,1.132,1.41403
7.12981,3.76668,2.62871,1.83544,1.40042,1.26828,1.11867,1.07455
7.47825,3.93354,2.25219,1.79022,1.53857,1.22169,1.09968,0.99094
7.34413,3.72287,2.34119,1.76841,1.43966,1.28364,1.12985,0.960072
7.21673,3.59566,2.40037,1.90502,1.5091,1.21124,1.15222,0.97576
6.577,3.7262,2.20062,1.80263,1.50897,1.21328,1.16772,1.05979
7.513,3.61181,2.17935,1.84917,1.42502,1.25523,1.45421,1.01517
